"all _ image _ url","Event Date - parsed","User","Latitude","Longitude","Occurrence status assumed to be present","Coordinate precision not valid","Country inferred from coordinates","Coordinates derived from verbatim coordinates","Coordinates converted to WGS84","First of the month","First of the year","Geodetic datum assumed WGS84","Habitat incorrect for species","Identification date before occurrence date","Incomplete collection date","Invalid collection date","Coordinates are transposed","Collector name unparseable","Coordinate uncertainty not valid"
"1406c9b8-5c15-4671-b010-ea0fb2bb0304","2019-06-07","","-37.8","145.5","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false"
"565cf92a-99c1-4d60-8d56-9bdc9134341c","2019-06-05","","-37.8","145.1","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false"
"4c2c0282-de33-4ad4-818b-138a044ca765","2019-06-25","","-35.2","138.5","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false"
"4b223e1d-0fed-4c40-94e8-fa78e7f58f83","2020-06-13","gposs","-38.170278","144.3233449722","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"d8cf541a-2632-4a04-9984-59ec5468ec6b","2019-06-16","reiner","-38.552741","143.760607","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"0c626a68-31c2-44c0-923b-14095e75efbd","2020-06-11","","-35.0","138.6","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false"
"800cb042-7abb-4173-927e-38d27fb35af6","2018-06-13","","-36.663785","149.988742","false","false","true","false","false","false","false","false","false","false","false","false","false","false","false"
"9837c673-6a92-4cf3-b4f1-f857a93fa894","2020-06-29","reiner","-37.878","145.411","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"06840572-7c05-46e9-9973-4810ddc60052","2019-06-10","cobaltducks","-35.1500758667","139.3130507817","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"070b53f1-f9af-4b6c-bd1b-72f75bd9ec67","2020-06-19","eruditious","-36.72628833","145.79093833","true","false","true","false","false","false","false","true","false","false","false","false","false","false","false"
"a305f976-0c6f-42ff-b025-cd7d9a488951","2016-07-09","","-35.1","138.6","false","false","true","false","false","false","false","false","false","false","false","false","false","true","false"
